t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
122,2.36,2.28,2.21,2.29,2.32,2.37
123,2.37,2.27,2.2,2.3,2.32,2.37
124,2.37,2.28,2.2,2.29,2.32,2.37
125,2.37,2.28,2.2,2.29,2.32,2.37
126,2.37,2.28,2.2,2.3,2.31,2.37
127,2.37,2.28,2.2,2.29,2.33,2.36
128,2.38,2.28,2.2,2.29,2.32,2.37
129,2.38,2.28,2.2,2.29,2.32,2.37
130,2.38,2.28,2.2,2.29,2.32,2.37
131,2.38,2.28,2.2,2.29,2.32,2.37
132,2.38,2.28,2.2,2.29,2.33,2.37
133,2.38,2.28,2.21,2.29,2.32,2.36
134,2.38,2.28,2.2,2.3,2.32,2.37
135,2.39,2.27,2.21,2.29,2.32,2.37
136,2.39,2.28,2.2,2.29,2.32,2.37
137,2.39,2.28,2.2,2.3,2.32,2.36
138,2.39,2.28,2.2,2.29,2.33,2.36
139,2.39,2.28,2.2,2.3,2.32,2.36
140,2.39,2.28,2.21,2.29,2.32,2.37
141,2.4,2.27,2.21,2.29,2.32,2.37
142,2.4,2.28,2.2,2.29,2.32,2.37
143,2.4,2.28,2.2,2.29,2.33,2.36
144,2.4,2.28,2.2,2.3,2.31,2.37
145,2.4,2.28,2.21,2.29,2.32,2.36
146,2.4,2.28,2.2,2.3,2.31,2.38
147,2.39,2.29,2.19,2.3,2.32,2.37
148,2.39,2.29,2.2,2.29,2.32,2.37
149,2.39,2.28,2.21,2.3,2.31,2.37
150,2.39,2.29,2.2,2.29,2.32,2.37
151,2.39,2.29,2.2,2.29,2.32,2.37
152,2.39,2.28,2.21,2.29,2.32,2.37
153,2.39,2.28,2.21,2.29,2.32,2.37
154,2.39,2.28,2.21,2.29,2.32,2.37
155,2.39,2.29,2.2,2.29,2.32,2.37
156,2.39,2.28,2.21,2.29,2.32,2.36
157,2.39,2.28,2.21,2.3,2.31,2.37
158,2.39,2.29,2.2,2.29,2.32,2.37
159,2.39,2.28,2.21,2.29,2.32,2.37
160,2.39,2.28,2.21,2.29,2.32,2.37
161,2.39,2.28,2.21,2.29,2.32,2.36
162,2.39,2.28,2.21,2.29,2.32,2.37
163,2.39,2.28,2.21,2.29,2.32,2.37
164,2.39,2.29,2.2,2.29,2.32,2.37
165,2.39,2.29,2.2,2.29,2.32,2.37
166,2.39,2.28,2.2,2.3,2.32,2.37
167,2.39,2.28,2.21,2.29,2.32,2.37
168,2.39,2.29,2.2,2.29,2.32,2.37
169,2.39,2.29,2.2,2.29,2.32,2.36
170,2.39,2.28,2.21,2.29,2.32,2.37
171,2.39,2.28,2.21,2.29,2.32,2.36
172,2.39,2.28,2.2,2.3,2.32,2.37
173,2.39,2.28,2.21,2.29,2.31,2.38
174,2.39,2.28,2.21,2.28,2.33,2.36
175,2.39,2.28,2.2,2.3,2.32,2.36
176,2.39,2.29,2.2,2.29,2.32,2.37
177,2.39,2.28,2.21,2.29,2.32,2.36
178,2.39,2.28,2.21,2.29,2.32,2.36
179,2.39,2.28,2.21,2.29,2.31,2.38
180,2.39,2.28,2.21,2.29,2.32,2.37
181,2.39,2.28,2.21,2.29,2.32,2.36
182,2.39,2.28,2.2,2.3,2.32,2.37
183,2.39,2.28,2.21,2.29,2.32,2.36
184,2.39,2.28,2.21,2.29,2.32,2.36
185,2.39,2.28,2.21,2.29,2.32,2.37
186,2.39,2.28,2.21,2.28,2.33,2.36
187,2.39,2.28,2.2,2.3,2.31,2.38
188,2.39,2.28,2.21,2.29,2.32,2.36
189,2.39,2.28,2.2,2.3,2.32,2.36
190,2.39,2.28,2.21,2.28,2.32,2.37
191,2.39,2.28,2.2,2.3,2.32,2.37
192,2.39,2.28,2.2,2.3,2.32,2.36
193,2.39,2.28,2.21,2.29,2.31,2.38
194,2.39,2.28,2.2,2.3,2.31,2.37
195,2.39,2.28,2.21,2.29,2.32,2.37
196,2.39,2.28,2.21,2.29,2.32,2.36
197,2.39,2.28,2.2,2.3,2.32,2.37
198,2.39,2.28,2.21,2.29,2.32,2.36
199,2.39,2.28,2.2,2.3,2.32,2.36
200,2.39,2.28,2.21,2.29,2.32,2.36
201,2.39,2.28,2.2,2.3,2.32,2.36
202,2.39,2.28,2.2,2.3,2.32,2.37
203,2.39,2.28,2.2,2.3,2.31,2.37
204,2.39,2.28,2.2,2.3,2.32,2.36
205,2.39,2.28,2.21,2.29,2.31,2.37
206,2.39,2.28,2.21,2.29,2.31,2.38
207,2.39,2.28,2.21,2.28,2.32,2.37
208,2.39,2.28,2.21,2.29,2.32,2.36
209,2.39,2.28,2.21,2.29,2.31,2.37
210,2.39,2.28,2.2,2.3,2.31,2.37
211,2.39,2.28,2.2,2.29,2.33,2.36
