t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
534,1.74,2.29,2.2,2.3,2.33,2.37
535,1.74,2.29,2.2,2.3,2.33,2.38
536,1.74,2.3,2.19,2.3,2.33,2.38
537,1.75,2.29,2.2,2.3,2.32,2.38
538,1.75,2.29,2.2,2.3,2.33,2.37
539,1.75,2.29,2.2,2.3,2.33,2.38
540,1.75,2.29,2.2,2.3,2.33,2.38
541,1.75,2.3,2.19,2.3,2.33,2.38
542,1.76,2.29,2.2,2.29,2.33,2.38
543,1.76,2.29,2.2,2.3,2.32,2.38
544,1.76,2.29,2.2,2.3,2.33,2.37
545,1.76,2.29,2.2,2.3,2.33,2.37
546,1.76,2.3,2.19,2.3,2.33,2.38
547,1.77,2.29,2.19,2.3,2.33,2.38
548,1.77,2.29,2.19,2.3,2.33,2.38
549,1.77,2.29,2.2,2.3,2.33,2.37
550,1.77,2.29,2.2,2.3,2.33,2.37
551,1.77,2.3,2.19,2.3,2.33,2.38
552,1.77,2.3,2.19,2.3,2.33,2.38
553,1.78,2.29,2.19,2.3,2.33,2.38
554,1.78,2.29,2.2,2.3,2.32,2.38
555,1.78,2.29,2.2,2.3,2.33,2.37
556,1.78,2.29,2.2,2.3,2.33,2.38
557,1.78,2.29,2.2,2.3,2.33,2.38
558,1.78,2.3,2.19,2.3,2.33,2.38
559,1.79,2.29,2.19,2.3,2.33,2.38
560,1.79,2.29,2.2,2.29,2.33,2.38
561,1.79,2.29,2.2,2.3,2.33,2.37
562,1.79,2.29,2.2,2.3,2.33,2.37
563,1.79,2.3,2.19,2.3,2.33,2.38
564,1.8,2.29,2.2,2.29,2.33,2.38
565,1.8,2.29,2.2,2.3,2.32,2.38
566,1.8,2.29,2.2,2.3,2.33,2.37
567,1.8,2.29,2.2,2.3,2.33,2.37
568,1.8,2.29,2.2,2.3,2.33,2.37
569,1.8,2.3,2.19,2.3,2.33,2.38
570,1.81,2.29,2.2,2.29,2.33,2.38
571,1.81,2.29,2.2,2.29,2.33,2.38
572,1.81,2.29,2.2,2.3,2.32,2.38
573,1.81,2.29,2.2,2.3,2.33,2.37
574,1.81,2.3,2.19,2.3,2.33,2.38
575,1.82,2.29,2.19,2.3,2.33,2.38
576,1.82,2.29,2.19,2.3,2.33,2.38
577,1.82,2.29,2.2,2.3,2.32,2.38
578,1.82,2.29,2.2,2.3,2.32,2.38
579,1.82,2.3,2.19,2.3,2.33,2.38
580,1.82,2.3,2.19,2.3,2.33,2.38
581,1.83,2.29,2.2,2.29,2.33,2.38
582,1.83,2.29,2.2,2.29,2.33,2.38
583,1.83,2.29,2.2,2.3,2.32,2.38
584,1.83,2.29,2.2,2.3,2.33,2.37
585,1.83,2.3,2.19,2.3,2.33,2.37
586,1.84,2.29,2.19,2.3,2.33,2.38
587,1.84,2.29,2.2,2.3,2.32,2.38
588,1.84,2.29,2.2,2.29,2.33,2.38
589,1.84,2.29,2.2,2.3,2.33,2.37
590,1.84,2.29,2.2,2.3,2.33,2.37
591,1.84,2.3,2.19,2.3,2.33,2.38
592,1.85,2.29,2.19,2.3,2.33,2.38
593,1.85,2.29,2.2,2.29,2.33,2.38
594,1.85,2.29,2.2,2.3,2.32,2.38
595,1.85,2.29,2.2,2.3,2.33,2.37
596,1.85,2.29,2.2,2.3,2.33,2.37
597,1.86,2.29,2.19,2.3,2.33,2.38
598,1.86,2.29,2.2,2.29,2.33,2.38
599,1.86,2.29,2.2,2.3,2.32,2.38
600,1.86,2.29,2.2,2.3,2.32,2.38
601,1.86,2.3,2.19,2.3,2.33,2.37
602,1.86,2.3,2.19,2.3,2.33,2.37
603,1.87,2.29,2.2,2.29,2.33,2.38
604,1.87,2.29,2.19,2.3,2.33,2.38
605,1.87,2.29,2.2,2.3,2.32,2.38
606,1.87,2.29,2.2,2.3,2.33,2.37
607,1.87,2.29,2.2,2.3,2.33,2.37
608,1.88,2.29,2.2,2.29,2.33,2.38
609,1.88,2.29,2.2,2.29,2.33,2.37
610,1.88,2.29,2.2,2.29,2.33,2.38
611,1.88,2.29,2.2,2.3,2.32,2.38
612,1.88,2.29,2.2,2.3,2.33,2.37
613,1.88,2.29,2.2,2.3,2.33,2.37
614,1.89,2.28,2.2,2.3,2.33,2.37
615,1.89,2.29,2.2,2.29,2.33,2.38
616,1.89,2.29,2.2,2.29,2.33,2.37
617,1.89,2.29,2.2,2.3,2.33,2.37
618,1.89,2.29,2.2,2.3,2.33,2.37
619,1.9,2.28,2.2,2.3,2.33,2.37
620,1.9,2.29,2.2,2.29,2.33,2.37
621,1.9,2.29,2.2,2.3,2.32,2.37
622,1.9,2.29,2.2,2.3,2.32,2.38
623,1.9,2.29,2.2,2.3,2.33,2.37
624,1.9,2.29,2.2,2.3,2.33,2.37
625,1.91,2.29,2.2,2.29,2.33,2.37
626,1.91,2.29,2.2,2.29,2.33,2.37
627,1.91,2.29,2.2,2.29,2.33,2.37
628,1.91,2.29,2.2,2.3,2.32,2.37
629,1.91,2.29,2.2,2.3,2.33,2.37
630,1.91,2.29,2.2,2.3,2.33,2.37
631,1.92,2.29,2.19,2.3,2.33,2.37
632,1.92,2.29,2.2,2.29,2.33,2.37
633,1.92,2.29,2.2,2.29,2.33,2.37
634,1.92,2.29,2.2,2.3,2.32,2.38
635,1.92,2.29,2.2,2.3,2.33,2.37
636,1.93,2.29,2.19,2.3,2.33,2.37
637,1.93,2.29,2.19,2.3,2.33,2.37
638,1.93,2.29,2.2,2.29,2.33,2.37
639,1.93,2.29,2.2,2.29,2.33,2.37
640,1.93,2.29,2.2,2.3,2.33,2.36
641,1.93,2.29,2.2,2.3,2.33,2.37
642,1.93,2.3,2.19,2.3,2.33,2.37
643,1.94,2.29,2.2,2.29,2.33,2.37
644,1.94,2.29,2.2,2.29,2.33,2.37
645,1.94,2.29,2.2,2.3,2.33,2.36
646,1.94,2.29,2.2,2.3,2.33,2.37
647,1.94,2.29,2.2,2.3,2.33,2.37
648,1.95,2.29,2.19,2.3,2.33,2.37
649,1.95,2.29,2.2,2.29,2.33,2.37
650,1.95,2.29,2.2,2.29,2.33,2.37
651,1.95,2.29,2.2,2.29,2.33,2.38
652,1.95,2.29,2.2,2.3,2.33,2.37
653,1.95,2.29,2.2,2.3,2.33,2.37
654,1.95,2.3,2.2,2.29,2.33,2.37
655,1.96,2.29,2.2,2.29,2.33,2.37
656,1.96,2.29,2.2,2.29,2.33,2.37
657,1.96,2.29,2.2,2.3,2.32,2.37
658,1.96,2.29,2.2,2.3,2.33,2.37
659,1.96,2.29,2.2,2.3,2.33,2.37
660,1.96,2.3,2.19,2.3,2.33,2.37
661,1.97,2.29,2.2,2.29,2.33,2.37
662,1.97,2.29,2.2,2.29,2.33,2.38
663,1.97,2.29,2.2,2.3,2.33,2.36
664,1.97,2.29,2.2,2.3,2.33,2.37
665,1.97,2.3,2.19,2.3,2.33,2.37
666,1.97,2.3,2.2,2.29,2.33,2.37
667,1.98,2.29,2.2,2.29,2.33,2.37
668,1.98,2.29,2.2,2.29,2.33,2.37
669,1.98,2.29,2.2,2.3,2.32,2.38
670,1.98,2.3,2.19,2.3,2.33,2.37
671,1.98,2.3,2.2,2.29,2.33,2.37
672,1.98,2.3,2.2,2.29,2.33,2.37
673,1.98,2.3,2.2,2.29,2.33,2.37
674,1.99,2.29,2.2,2.29,2.33,2.37
675,1.99,2.29,2.2,2.3,2.32,2.38
676,1.99,2.3,2.19,2.3,2.33,2.37
677,1.99,2.3,2.2,2.29,2.33,2.37
678,1.99,2.3,2.2,2.29,2.33,2.37
679,2,2.29,2.2,2.3,2.32,2.37
680,2,2.29,2.2,2.29,2.34,2.37
681,2,2.29,2.2,2.3,2.33,2.36
682,2,2.3,2.19,2.3,2.33,2.37
683,2,2.3,2.2,2.29,2.33,2.37
684,2,2.3,2.2,2.29,2.33,2.37
685,2.01,2.29,2.2,2.29,2.33,2.37
686,2.01,2.29,2.2,2.3,2.33,2.36
687,2.01,2.29,2.2,2.3,2.33,2.37
688,2.01,2.3,2.19,2.3,2.33,2.37
689,2.01,2.3,2.2,2.29,2.33,2.37
690,2.01,2.3,2.2,2.29,2.33,2.37
691,2.02,2.29,2.2,2.29,2.33,2.37
692,2.02,2.29,2.2,2.29,2.34,2.36
693,2.02,2.3,2.19,2.3,2.33,2.37
694,2.02,2.3,2.19,2.3,2.33,2.37
695,2.02,2.3,2.2,2.29,2.33,2.37
696,2.03,2.29,2.2,2.29,2.33,2.37
697,2.03,2.29,2.2,2.3,2.32,2.37
698,2.03,2.29,2.2,2.3,2.32,2.37
699,2.03,2.29,2.2,2.29,2.34,2.37
700,2.03,2.3,2.19,2.3,2.33,2.37
701,2.03,2.3,2.2,2.29,2.33,2.37
702,2.04,2.29,2.2,2.29,2.33,2.37
703,2.04,2.29,2.2,2.29,2.33,2.37
704,2.04,2.3,2.19,2.3,2.33,2.37
705,2.04,2.29,2.21,2.29,2.33,2.37
706,2.04,2.3,2.2,2.29,2.33,2.37
707,2.05,2.29,2.2,2.29,2.33,2.37
708,2.05,2.29,2.2,2.29,2.33,2.37
709,2.05,2.29,2.2,2.29,2.33,2.37
710,2.05,2.29,2.2,2.3,2.33,2.37
711,2.05,2.3,2.19,2.3,2.33,2.37
712,2.05,2.3,2.2,2.29,2.33,2.37
713,2.05,2.3,2.2,2.29,2.33,2.37
714,2.06,2.29,2.2,2.29,2.33,2.37
715,2.06,2.29,2.2,2.29,2.33,2.37
716,2.06,2.29,2.2,2.29,2.34,2.36
717,2.06,2.3,2.2,2.29,2.33,2.37
718,2.06,2.3,2.19,2.3,2.33,2.37
719,2.06,2.3,2.2,2.29,2.33,2.37
720,2.07,2.29,2.2,2.29,2.33,2.37
