t[s],Uc1[V],Uc2,Uc3,Uc4,Uc5,Uc6
122,0.96,2.3,2.22,2.3,2.33,2.36
123,0.96,2.3,2.22,2.3,2.33,2.36
124,0.96,2.3,2.21,2.31,2.33,2.37
125,0.96,2.3,2.22,2.3,2.33,2.36
126,0.96,2.3,2.22,2.3,2.33,2.36
127,0.96,2.3,2.22,2.3,2.33,2.36
128,0.96,2.3,2.21,2.31,2.33,2.36
129,0.96,2.3,2.22,2.3,2.33,2.36
130,0.96,2.3,2.22,2.3,2.33,2.36
131,0.96,2.3,2.22,2.3,2.33,2.36
132,0.96,2.3,2.21,2.31,2.33,2.36
133,0.96,2.3,2.22,2.3,2.33,2.36
134,0.96,2.3,2.21,2.31,2.33,2.36
135,0.96,2.3,2.22,2.3,2.33,2.36
136,0.96,2.3,2.22,2.3,2.33,2.36
137,0.96,2.3,2.21,2.31,2.33,2.36
138,0.96,2.3,2.21,2.31,2.33,2.36
139,0.96,2.3,2.21,2.31,2.33,2.36
140,0.96,2.3,2.22,2.3,2.33,2.36
141,0.96,2.3,2.22,2.3,2.33,2.36
142,0.96,2.3,2.22,2.3,2.33,2.36
143,0.98,2.29,2.21,2.31,2.33,2.36
144,0.98,2.29,2.21,2.31,2.33,2.36
145,0.98,2.29,2.22,2.3,2.33,2.36
146,0.98,2.3,2.21,2.3,2.33,2.37
147,0.98,2.3,2.21,2.3,2.33,2.37
148,0.99,2.29,2.21,2.31,2.33,2.36
149,0.99,2.29,2.21,2.31,2.33,2.36
150,0.99,2.29,2.22,2.3,2.33,2.37
151,0.99,2.3,2.21,2.3,2.33,2.37
152,0.99,2.3,2.21,2.3,2.33,2.37
153,1,2.29,2.21,2.31,2.33,2.36
154,1,2.29,2.22,2.3,2.33,2.36
155,1,2.29,2.22,2.3,2.33,2.37
156,1,2.3,2.21,2.3,2.33,2.37
157,1.01,2.29,2.21,2.3,2.33,2.37
158,1.01,2.29,2.21,2.3,2.34,2.36
159,1.01,2.29,2.22,2.3,2.33,2.37
160,1.01,2.29,2.22,2.3,2.33,2.37
161,1.01,2.3,2.21,2.3,2.33,2.37
162,1.02,2.29,2.21,2.3,2.34,2.36
163,1.02,2.29,2.21,2.31,2.33,2.36
164,1.02,2.29,2.22,2.3,2.33,2.36
165,1.02,2.29,2.22,2.3,2.33,2.37
166,1.02,2.3,2.21,2.3,2.33,2.37
167,1.03,2.29,2.21,2.3,2.34,2.36
168,1.03,2.29,2.22,2.3,2.33,2.36
169,1.03,2.29,2.22,2.3,2.33,2.37
170,1.03,2.3,2.21,2.3,2.33,2.37
171,1.03,2.3,2.21,2.3,2.33,2.37
172,1.04,2.29,2.21,2.31,2.32,2.37
173,1.04,2.29,2.21,2.31,2.33,2.37
174,1.04,2.29,2.22,2.3,2.33,2.37
175,1.04,2.3,2.21,2.3,2.33,2.37
176,1.04,2.3,2.21,2.3,2.33,2.37
177,1.05,2.29,2.21,2.31,2.33,2.36
178,1.05,2.29,2.21,2.31,2.33,2.37
179,1.05,2.29,2.22,2.3,2.33,2.37
180,1.05,2.3,2.21,2.3,2.33,2.37
181,1.05,2.3,2.21,2.3,2.33,2.37
182,1.06,2.29,2.21,2.3,2.34,2.36
183,1.06,2.29,2.21,2.31,2.33,2.37
184,1.06,2.29,2.22,2.3,2.33,2.37
185,1.06,2.3,2.21,2.3,2.33,2.37
186,1.06,2.3,2.21,2.3,2.33,2.37
187,1.07,2.29,2.21,2.3,2.33,2.38
188,1.07,2.29,2.21,2.31,2.33,2.37
189,1.07,2.29,2.22,2.3,2.33,2.37
190,1.07,2.3,2.21,2.3,2.33,2.37
191,1.07,2.3,2.21,2.3,2.33,2.37
192,1.07,2.3,2.21,2.3,2.34,2.37
193,1.08,2.29,2.22,2.3,2.33,2.37
194,1.08,2.29,2.22,2.3,2.33,2.37
195,1.08,2.3,2.21,2.3,2.33,2.37
196,1.08,2.3,2.21,2.3,2.33,2.37
197,1.08,2.3,2.21,2.3,2.34,2.37
198,1.09,2.29,2.21,2.31,2.33,2.37
199,1.09,2.29,2.22,2.3,2.33,2.37
200,1.09,2.3,2.21,2.3,2.33,2.37
201,1.09,2.3,2.21,2.3,2.33,2.37
202,1.1,2.29,2.21,2.3,2.34,2.37
203,1.1,2.29,2.21,2.31,2.33,2.37
204,1.1,2.29,2.22,2.3,2.33,2.37
205,1.1,2.3,2.21,2.3,2.33,2.37
206,1.1,2.3,2.21,2.3,2.33,2.38
207,1.11,2.29,2.21,2.3,2.34,2.37
208,1.11,2.29,2.22,2.3,2.33,2.37
209,1.11,2.29,2.22,2.3,2.33,2.37
210,1.11,2.3,2.21,2.3,2.33,2.37
211,1.11,2.3,2.21,2.3,2.33,2.38
212,1.12,2.29,2.21,2.3,2.34,2.37
213,1.12,2.29,2.22,2.3,2.33,2.37
214,1.12,2.29,2.22,2.3,2.33,2.37
215,1.12,2.3,2.21,2.3,2.33,2.37
216,1.12,2.3,2.21,2.3,2.33,2.38
217,1.13,2.29,2.21,2.31,2.33,2.37
218,1.13,2.29,2.21,2.31,2.33,2.37
219,1.13,2.3,2.21,2.3,2.33,2.37
220,1.13,2.3,2.21,2.3,2.33,2.37
221,1.13,2.3,2.21,2.3,2.33,2.38
222,1.14,2.29,2.21,2.3,2.34,2.37
223,1.14,2.29,2.22,2.3,2.33,2.37
224,1.14,2.29,2.22,2.3,2.33,2.37
225,1.14,2.3,2.21,2.3,2.33,2.37
226,1.14,2.3,2.21,2.3,2.33,2.38
227,1.15,2.29,2.21,2.3,2.34,2.37
228,1.15,2.29,2.21,2.31,2.33,2.37
229,1.15,2.3,2.21,2.3,2.33,2.37
230,1.15,2.3,2.21,2.3,2.33,2.37
231,1.15,2.3,2.21,2.3,2.33,2.38
232,1.16,2.29,2.21,2.31,2.33,2.37
233,1.16,2.29,2.21,2.31,2.33,2.37
234,1.16,2.3,2.21,2.3,2.33,2.37
235,1.16,2.3,2.21,2.3,2.33,2.38
236,1.16,2.3,2.21,2.3,2.33,2.38
237,1.17,2.29,2.21,2.3,2.34,2.37
238,1.17,2.29,2.21,2.31,2.33,2.37
239,1.17,2.3,2.21,2.3,2.33,2.37
240,1.17,2.3,2.21,2.3,2.33,2.37
241,1.17,2.3,2.21,2.3,2.33,2.38
242,1.18,2.29,2.21,2.3,2.34,2.37
243,1.18,2.29,2.21,2.31,2.33,2.37
244,1.18,2.29,2.22,2.3,2.33,2.37
245,1.18,2.3,2.21,2.3,2.33,2.37
246,1.19,2.29,2.21,2.3,2.33,2.38
247,1.19,2.29,2.21,2.3,2.34,2.37
248,1.19,2.29,2.21,2.31,2.33,2.37
249,1.19,2.3,2.2,2.31,2.33,2.37
250,1.19,2.3,2.21,2.3,2.33,2.37
251,1.19,2.3,2.21,2.3,2.33,2.38
252,1.2,2.29,2.21,2.3,2.34,2.37
253,1.2,2.29,2.21,2.31,2.33,2.37
254,1.2,2.3,2.2,2.31,2.33,2.37
255,1.2,2.3,2.2,2.31,2.33,2.37
256,1.21,2.29,2.21,2.3,2.33,2.38
257,1.21,2.29,2.21,2.3,2.34,2.37
258,1.21,2.29,2.21,2.31,2.33,2.37
259,1.21,2.3,2.2,2.31,2.33,2.37
260,1.21,2.3,2.2,2.31,2.33,2.37
261,1.22,2.29,2.21,2.3,2.33,2.37
262,1.22,2.29,2.21,2.3,2.34,2.37
263,1.22,2.29,2.21,2.31,2.33,2.37
264,1.22,2.3,2.2,2.31,2.33,2.37
265,1.22,2.3,2.2,2.31,2.33,2.37
266,1.22,2.3,2.2,2.31,2.33,2.37
267,1.23,2.29,2.21,2.3,2.33,2.38
268,1.23,2.29,2.21,2.3,2.34,2.37
269,1.23,2.29,2.21,2.31,2.33,2.37
270,1.23,2.3,2.2,2.31,2.33,2.37
271,1.23,2.3,2.2,2.31,2.33,2.37
272,1.24,2.29,2.21,2.3,2.34,2.37
273,1.24,2.29,2.21,2.3,2.34,2.37
274,1.24,2.3,2.2,2.31,2.33,2.37
275,1.24,2.3,2.2,2.31,2.33,2.37
276,1.25,2.29,2.2,2.31,2.33,2.37
277,1.25,2.29,2.21,2.3,2.34,2.37
278,1.25,2.29,2.21,2.31,2.33,2.37
279,1.25,2.3,2.2,2.31,2.33,2.37
280,1.25,2.3,2.2,2.31,2.33,2.37
281,1.25,2.3,2.2,2.31,2.33,2.37
282,1.26,2.29,2.21,2.3,2.34,2.37
283,1.26,2.29,2.21,2.3,2.34,2.37
284,1.26,2.3,2.2,2.31,2.33,2.37
285,1.26,2.3,2.2,2.31,2.33,2.37
286,1.27,2.29,2.2,2.31,2.33,2.37
287,1.27,2.29,2.21,2.3,2.34,2.37
288,1.27,2.29,2.21,2.3,2.34,2.37
289,1.27,2.3,2.2,2.31,2.33,2.37
290,1.27,2.3,2.2,2.31,2.33,2.37
291,1.28,2.29,2.2,2.31,2.33,2.37
292,1.28,2.29,2.21,2.3,2.33,2.38
293,1.28,2.29,2.21,2.3,2.34,2.37
294,1.28,2.3,2.2,2.31,2.33,2.37
295,1.28,2.3,2.2,2.31,2.33,2.37
296,1.28,2.3,2.2,2.31,2.33,2.37
297,1.29,2.29,2.21,2.3,2.33,2.38
298,1.29,2.29,2.21,2.31,2.33,2.37
299,1.29,2.3,2.2,2.31,2.33,2.37
300,1.29,2.3,2.2,2.31,2.33,2.37
301,1.29,2.3,2.2,2.31,2.33,2.37
302,1.3,2.29,2.21,2.3,2.33,2.38
303,1.3,2.29,2.21,2.3,2.34,2.37
304,1.3,2.29,2.21,2.31,2.33,2.37
305,1.3,2.3,2.2,2.31,2.33,2.37
306,1.3,2.3,2.2,2.31,2.33,2.37
307,1.31,2.29,2.21,2.3,2.33,2.37
308,1.31,2.29,2.21,2.3,2.33,2.38
309,1.31,2.29,2.21,2.3,2.34,2.37
310,1.31,2.3,2.2,2.31,2.33,2.37
311,1.31,2.3,2.2,2.31,2.33,2.38
